Player;Age;Цвет кожи;Национальность;Tm;Pos;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Trp Dbl
Carmelo Anthony;37;black;;LAL;SF;1195;1117;41830;9819;21962;.447;1594;4498;.354;8225;17464;.471;.483;6195;7613;.814;1925;5611;7536;3358;1177;595;2998;3386;27427;2
LeBron James;38;black;;LAL;SF;1313;1312;50169;12931;25664;.504;1993;5767;.346;10938;19897;.550;.543;7590;10349;.733;1539;8231;9770;9712;2068;985;4604;2405;35445;99
Luka DonДЌiД‡;22;;;DAL;PG;202;202;6736;1761;3858;.456;536;1626;.330;1225;2232;.549;.526;1128;1532;.736;220;1477;1697;1560;206;77;802;449;5186;36
Stephen Curry;33;;;GSW;PG;766;760;26291;6376;13379;.477;2850;6585;.433;3526;6794;.519;.583;2948;3249;.907;522;3014;3536;5009;1289;166;2409;1856;18550;8
Kevin Durant;33;;;BRK;SF;888;885;32600;8186;16548;.495;1662;4332;.384;6524;12216;.534;.545;5973;6771;.882;634;5644;6278;3704;977;989;2780;1692;24007;13
Kyrie Irving;29;;;BRK;PG;582;582;19713;4895;10418;.470;1271;3248;.391;3624;7170;.505;.531;2232;2534;.881;459;1753;2212;3336;775;224;1525;1311;13293;3
James Harden;32;;;BRK;SG;881;667;30331;6537;14725;.444;2455;6759;.363;4082;7966;.512;.527;6585;7671;.858;694;4128;4822;5763;1372;480;3274;2312;22114;58
Anthony Davis;28;;;LAL;PF;568;563;19554;5049;9829;.514;281;907;.310;4768;8922;.534;.528;3196;4004;.798;1429;4390;5819;1303;777;1335;1104;1328;13575;1
Nikola Jokic;26;;;DEN;C;457;416;13660;3262;6099;.535;446;1280;.348;2816;4819;.584;.571;1497;1794;.834;1198;3293;4491;2715;526;314;1197;1287;8467;57
Giannis Antetokounmpo;26;;;MIL;PF;593;528;19270;4532;8526;.532;379;1319;.287;4153;7207;.576;.554;2974;4147;.717;992;4421;5413;2658;697;772;1678;1770;12417;25
